date,open,high,low,close,volume,change,updown,comp,amount,marcap,highlow,SMA_20,SMA_50,RSI_14,MACD_line,MACD_signal,Bollinger_upper,Bollinger_middle,Bollinger_lower,ATR_14,CCI_20,Stochastic_K,Stochastic_D,ADX,PLUS_DI,MINUS_DI,Ichimoku_conversion_line,Ichimoku_base_line,Ichimoku_leading_span_A,Ichimoku_leading_span_B,Ichimoku_lagging_span
2010-02-10,206.98,207.41,205.23,205.94,91857159,-0.0003,2,-0.07,3261373613382,717642610349435,0,215.091,,34.0458796278569,,,212.05138348897,206.42,200.78861651103,3.53230659638363,-95.0370229460995,24.7723132969035,22.5663169770566,45.873502452259,12.62659358842,32.9837881259016,208.336666666667,216.721153846154,,,218.52
2010-02-11,206.55,210.17,206.45,209.73,98644233,0.0184,1,3.79,3629544457542,731014179407620,0,214.518,,41.9984729844185,,,210.189942418015,206.022,201.854057581985,3.58214183949908,-61.2784026595881,53.8224579449266,31.7757421662918,44.5593371748933,17.1518076611278,30.1473367909168,207.980555555556,216.108461538462,,,220.09
2010-02-12,209.35,209.59,206.56,208.74,87273124,-0.0047,2,-0.99,3540675773180,728050856592200,0,213.7945,,40.6206470700794,,,211.27182587168,206.758,202.244174128321,3.55270313667772,-61.2283253833116,69.4444444444445,49.3464052287582,43.3390408459109,16.0386751337234,28.1908094172663,207.741666666667,215.532884615385,,,220.09
2010-02-16,208.21,210.84,207.77,209.73,72252120,0.0047,1,0.99,2160891896325,731424412476845,0,213.062,,42.6469395352657,,,211.463086075217,208.03,204.596913924784,3.51822434120074,-43.3761955065546,86.9890434049726,70.0853152647812,41.6718280345149,17.6031405166246,26.4036444280299,207.613888888889,215.083846153846,,,221.07
2010-02-17,212.24,213.56,212.09,213.44,96338987,0.0177,1,3.71,3267258353305,743977716068165,1,212.5275,,49.5893791842262,,,214.322605454976,209.516,204.709394545024,3.54049403111497,8.18855686819518,88.4696356418674,81.6343744970948,39.0879264463095,21.7955869882568,24.3312755509539,207.792222222222,214.684615384615,,,222.25
2010-02-18,213.81,213.98,212.11,212.55,79515533,-0.0042,2,-0.89,2524182717880,740879416798505,0,211.9135,,48.0856427533863,,,214.477591185817,210.838,207.198408814183,3.42117302889247,17.007971038198,88.511950044388,87.990209697076,36.5401472418565,21.8219160697723,23.3669306863562,207.955555555556,214.335384615385,,,221.6
2010-02-19,211.12,212.85,208.56,208.7,81624279,-0.0181,2,-3.85,2905109372106,727706776802110,-1,211.0405,,42.1335882051701,-3.66861575370709,-5.01332188192117,214.600826526801,210.632,206.663173473199,3.48323209825729,-20.9132915659491,69.4698967562169,82.1504941474907,35.2232732866777,19.8757030907575,28.6631308009186,208.550555555556,213.968846153846,,,222.48
2010-02-22,211.92,213.97,211.92,213.28,79147732,0.0219,1,4.58,2739457359496,743471707259365,0,210.6705,,50.0539033493386,-3.17646687386159,-4.64595088030925,215.438656178721,211.54,207.641343821279,3.6108583769532,52.579852579851,66.1927082640729,74.7248516882259,33.5860667714981,20.0209905315362,25.6381527954066,209.568888888889,213.656730769231,,,221.58
2010-02-23,213.29,213.68,211.61,213.45,78090979,0.0008,1,0.17,2800482971981,744137489858840,1,210.3765,,50.3256823801511,-2.74111983838307,-4.26498467192402,215.928581731814,212.284,208.639418268186,3.50079706431369,62.8108096884373,69.263410285834,68.3086717687079,32.1562004575935,19.1654095662714,25.1825076448907,210.463888888889,213.281346153846,,,225.47
2010-02-24,211.69,211.93,210.11,210.92,82852516,-0.0119,2,-2.53,3097095781360,735860610536015,0,210.178,,46.2887957094026,-2.570621507585,-3.92611203905621,215.341774838453,211.78,208.218225161547,3.48931155971985,22.8819682751086,74.1638986438173,69.8733390645747,31.2602511055434,17.840621697101,26.5461612864512,210.986111111111,212.812884615385,,,226.69
2010-02-25,211.86,212.16,206.85,207.56,78858847,-0.0159,2,-3.36,3090805600894,724133256860625,-1,209.905,,41.5248343194455,-2.67577955032058,-3.67604554130909,215.522740870358,210.782,206.041259129643,3.61936073402558,-29.4241869632563,47.9119159169119,63.7797416155211,31.2359983507609,15.9526564790069,30.2338548914758,211.118888888889,212.223653846154,,,227.48
2010-02-26,208.53,208.86,206.69,208.36,62066092,0.0039,1,0.8,2482151686182,726948413107255,0,209.5395,,43.0282777523196,-2.66385745217531,-3.47360792348233,215.58033496585,210.714,205.84766503415,3.51583496730946,-46.9620090402863,25.4846353254248,49.186816628718,31.2498930587817,15.2427561103354,29.2165486940676,211.085555555556,211.564038461539,,,227.51
2010-03-02,210.99,212.15,210.58,211.44,89620147,0.0148,1,3.08,3362415114845,737232459163485,0,209.5945,,48.5164705161436,-2.3784614214099,-3.25457862306784,214.623113045011,210.346,206.068886954989,3.53541818393022,53.8354830140768,33.6218969555518,35.6728160659628,29.9440776683899,20.7701151613772,26.9599821344443,211.314444444444,211.067115384615,,,227.31
